Country Name,Country Code,Series Name,Series Code,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2659.708242,3985.192469,6823.538837,7721.354105,7774.736203,7708.099115,4277.721573,9020.873323,13082.66433,12790.24247
Argentina,ARG,"Population, total",SP.POP.TOTL,29737097,31668939,33529320,35246376,36467218,36870796,38491970,40080159,41733271,43590368
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1.610390314,1.541803574,1.352157951,1.19362308,1.113380523,1.100608135,1.055389439,0.992570476,1.136905694,1.057181578
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,..,..,1272835453,1596968946,1845482173,1911563669,3576615240,11662040714,10619320049,10546135160
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,-41.80000275,5.865400749,3.300000001,5.900000003,10.5,6.9,7.200000001,0.2
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,369.7072323,504.0598426,597.4328988,622.7409229,1191.921006,4010.861381,3681.844691,3591.828052
Armenia,ARM,"Population, total",SP.POP.TOTL,3285593,3504667,3442820,3168213,3089020,3069597,3000715,2907615,2884239,2936147
Armenia,ARM,Population growth (annual %),SP.POP.GROW,1.44084857,1.515708916,-1.797065633,-1.5390022,-0.634784876,-0.630760588,-0.572322312,-0.856135895,0.267429455,0.361260408
Armenia,ARM,Land area (sq. km),AG.LND.TOTL.K2,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,..,596423607.1,958463184.4,1379960894,1722798883,1873452514,2228491620,2745251397,2534636872,2983636872
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,18.64864865,5.882352941,1.185788172,1.238042106,7.616588194,7.911563466,-0.090708046,-1.369863014,2.099999586
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,..,9765.909207,14045.47457,16583.87586,19355.33354,20617.75047,22568.37499,27083.63486,24712.49326,28452.17061
Aruba,ABW,"Population, total",SP.POP.TOTL,62826,61072,68240,83211,89009,90866,98744,101362,102565,104865
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.980501941,-1.246456623,5.446051861,3.531109513,1.961614669,2.06484056,1.765472909,0.134262662,0.503385468,0.502859514
Aruba,ABW,Land area (sq. km),AG.LND.TOTL.K2,180,180,180,180,180,180,180,180,180,180
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,67985344887,1.33E+11,1.95E+11,2.37E+11,2.17E+11,1.97E+11,3.01E+11,4.30E+11,4.09E+11,3.96E+11
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.051274763,3.295879898,2.093524617,2.349533852,3.556331247,3.375722147,2.735120222,1.460423676,0.680445577,1.989437162
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,8991.06504,17578.61894,24880.16412,29809.07677,27174.29716,24564.45829,36821.52147,51708.76575,48567.69529,45276.83144
Austria,AUT,"Population, total",SP.POP.TOTL,7561434,7585317,7840709,7959017,7992324,8011566,8171966,8321496,8429991,8736668
Austria,AUT,Population growth (annual %),SP.POP.GROW,-0.006294904,0.14157085,1.100552287,0.135019834,0.194563153,0.240466652,0.620413127,0.313041438,0.455937472,1.081396299
Austria,AUT,Land area (sq. km),AG.LND.TOTL.K2,82580,82580,82580,82580,82580,82580,82580,82578,82554,82520
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,..,..,446305555.6,3176333837,4581432039,5272798391,8680370408,48852482960,69683935845,37867518957
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,-22.60000005,1.299999465,7.399999587,11.0999995,9.253801326,10.75897816,2.16523943,-3.1
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,60.45821358,409.1631891,573.9165123,655.1199452,1045.009379,5574.603802,7496.294648,3880.738731
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,6557581,7010027,7382050,7763000,7982750,8048600,8306500,8763400,9295784,9757812
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,1.622124037,1.676464495,1.51162852,1.011799917,0.8775987,0.821519964,0.87542728,2.099854033,1.328763827,1.11785721
Azerbaijan,AZE,Land area (sq. km),AG.LND.TOTL.K2,83217,83217,83217,83217,82705,82605,82672,82627,82658,82670
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,2041100000,2817900000,3109000000,3609000000,7683870000,8076470000,9055290000,10526000000,10720500000,11992600000
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,14.17114862,2.309707661,-3.82558197,4.223530425,12.19751829,4.149234046,0.882740185,-2.323507236,3.086879177,0.091146924
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,8877.705915,11387.70908,11686.73974,12708.64145,26130.01296,27098.15632,28396.01371,30627.32775,29485.86422,31732.91914
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,229913,247451,266028,283980,294063,298045,318893,343680,363581,377923
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,2.117844118,1.706119849,1.905433951,1.347512852,1.184627896,1.345045172,1.825953873,1.848035245,1.105707898,0.990005733
"Bahamas, The",BHS,Land area (sq. km),AG.LND.TOTL.K2,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,3905585106,3702393617,4751063830,6101861436,6621010372,9062898936,13150159574,25710904255,30749308511,32234973404
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.003646045,6.999991649,6.689998367,4.110006115,4.29999896,5.300070056,6.980960594,6.245010775,3.72810843,3.558128119
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,9590.541794,7958.747925,9082.827988,10544.79468,10401.56215,13636.41675,15846.50595,23066.45098,23654.36959,22608.45256
Bahrain,BHR,"Population, total",SP.POP.TOTL,407233,465198,523082,578661,636540,664610,829846,1114645,1299942,1425793
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,2.683305111,3.548255082,2.579428941,2.619816678,3.65459387,4.315314275,6.360400534,7.324218649,1.690358099,3.856576946
Bahrain,BHR,Land area (sq. km),AG.LND.TOTL.K2,690,690,710,710,710,710,730,760,770,779
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,18920840000,26579005760,31708874594,46438484108,51270569884,53369787319,65108544250,91631278239,1.33E+11,2.21E+11
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.803310015,2.416256856,5.442685551,4.522919218,4.670156368,5.293294718,5.23953291,6.013789759,6.521458781,7.113478213
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,213.9966386,270.6996009,293.6449876,394.7174919,409.5431838,418.0689421,475.2919302,634.9870697,883.1171296,1401.564635
Bangladesh,BGD,"Population, total",SP.POP.TOTL,88416529,98186350,107983708,117649927,125189655,127657862,136986429,144304164,151005733,157977151
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,2.605614616,2.595031948,2.233027864,2.130477876,2.022751815,1.952390462,1.615199537,1.145647438,1.154006105,1.095288404
Bangladesh,BGD,Land area (sq. km),AG.LND.TOTL.K2,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1346890071,1812757918,1957000000,2363645403,2951822205,3059500000,3444500000,4785000000,4610000000,4830000000
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.600374065,3.50538228,-5.692520776,3.976477177,0.334655429,4.447189623,1.411598635,0.701030928,-0.455606178,2.478698683
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,5271.729836,6999.876116,7444.178173,8851.046458,10914.28224,11268.42006,12512.57797,17092.58214,16249.67395,16900.04829
Barbados,BRB,"Population, total",SP.POP.TOTL,255493,258970,262890,267047,270455,271511,275283,279946,283698,285798
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.275141076,0.370612941,0.372712426,0.409755133,0.415348075,0.389692835,0.346425292,0.445720486,0.25093319,0.164937661
Barbados,BRB,Land area (sq. km),AG.LND.TOTL.K2,430,430,430,430,430,430,430,430,430,430
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,14756846154,12152867470,12738912134,23144351852,60763483146,65685102555,47722657821
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,-9.600001396,2.800004651,3.399999163,5.80000344,11.44974311,10.19999944,1.687135536,-2.526446436
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,1452.507105,1212.045978,1276.493985,2378.623286,6377.369732,6953.132515,5039.681886
Belarus,BLR,"Population, total",SP.POP.TOTL,9910000,10140000,10216470,10159569,10026738,9979610,9730146,9527985,9446836,9469379
Belarus,BLR,Population growth (annual %),SP.POP.GROW,0.678380569,0.286405805,0.219690718,-0.336671341,-0.450029843,-0.471131335,-0.682169472,-0.345415054,-0.1566176,0.087721088
Belarus,BLR,Land area (sq. km),AG.LND.TOTL.K2,202840,202840,202840,202840,202840,202840,202810,202900,202910,202988
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,83349530159,1.62E+11,2.35E+11,2.79E+11,2.58E+11,2.36E+11,3.69E+11,5.15E+11,4.96E+11,4.76E+11
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.466382805,4.72320888,1.530654944,1.32145093,3.542743464,3.716679384,3.571204343,0.446928735,0.739217283,1.266686409
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,8457.268803,16391.09383,23372.61917,27489.55518,25244.27505,23041.53473,35364.37533,48106.89292,44673.11588,41984.10303
Belgium,BEL,"Population, total",SP.POP.TOTL,9855372,9901664,10045158,10156637,10226419,10251250,10421137,10709973,11106932,11331422
Belgium,BEL,Population growth (annual %),SP.POP.GROW,-0.001501708,0.317926245,0.405713496,0.195393176,0.229189103,0.242517956,0.432788248,0.789976845,0.620163579,0.506300002
Belgium,BEL,Land area (sq. km),AG.LND.TOTL.K2,32820,32820,32820,32820,32820,30280,30280,30280,30280,30280
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,214381949,320093360.3,518559700,641660000,732732350,832072450,1051386600,1351338650,1522897506,1789304088
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.972065025,9.787711442,12.05832448,1.429112441,8.778854915,13.01957737,4.789941179,3.489805261,2.421763142,-0.033233632
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1337.03762,1788.00132,2668.531422,3003.182627,3066.095138,3364.491731,3802.26316,4404.308198,4505.600593,4856.973249
Belize,BLZ,"Population, total",SP.POP.TOTL,160341,179023,194324,213660,238979,247310,276516,306822,338001,368399
Belize,BLZ,Population growth (annual %),SP.POP.GROW,2.860130244,2.654702586,1.654165253,3.185076498,3.721869308,3.426692846,2.596749223,2.572052793,2.324130368,2.049363877
Belize,BLZ,Land area (sq. km),AG.LND.TOTL.K2,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1051133927,1620246187,1695315306,2361116588,3677394292,3519991326,6190270756,9787735426,11141358945,11821066153
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.929839564,3.405245295,2.957710827,4.324284031,5.341449372,5.857714205,4.429684554,4.896577084,4.811223316,3.339673426
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,252.869785,346.7366313,317.962736,387.4320982,551.8214294,512.673902,798.7443045,1125.426134,1145.140105,1087.287331
Benin,BEN,"Population, total",SP.POP.TOTL,4156819,4672844,5331805,6094272,6664102,6865946,7750003,8696915,9729254,10872072
Benin,BEN,Population growth (annual %),SP.POP.GROW,2.852027793,2.988502512,3.47909842,3.145638825,2.95165994,2.983861929,3.005315906,2.823522041,2.797721181,2.761360928
Benin,BEN,Land area (sq. km),AG.LND.TOTL.K2,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,985699968,1415100032,1679900000,2695390000,3324433000,3480219000,4484703000,6980000000,6378188000,6899911000
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.481400438,4.0562249,-0.059738214,2.600475429,3.38264702,9.317156411,2.321267223,-1.865955826,-5.305299107,-0.657206304
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,17469.82557,24253.17552,28669.68171,44826.78907,54245.45974,56284.16865,70359.31911,106935.4863,98431.86518,106885.8785
Bermuda,BMU,"Population, total",SP.POP.TOTL,56423,58347,58595,60129,61285,61833,63740,65273,64798,64554
Bermuda,BMU,Population growth (annual %),SP.POP.GROW,0.877596796,0.857177612,-0.724394407,0.639001132,0.55961137,0.890208774,0.65321131,0.591576775,0.361775877,-1.05247098
Bermuda,BMU,Land area (sq. km),AG.LND.TOTL.K2,54,54,54,54,54,54,54,54,54,54
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,160459970.5,272241005.2,240215763.9,303435517.9,399268801.7,424464089.9,682523857,1227808791,1781281282,2158972129
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.556658989,4.767373027,4.600891432,5.565172862,7.983972022,3.355068285,6.008742236,4.799460612,5.118400858,8.127033538
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,355.4158972,534.2961879,449.4004282,560.391079,690.9127435,718.196337,1068.431811,1828.154677,2538.949519,2930.574923
Bhutan,BTN,"Population, total",SP.POP.TOTL,451471,509532,534525,541471,577886,591014,638809,671611,701582,736706
Bhutan,BTN,Population growth (annual %),SP.POP.GROW,2.61387672,3.032373758,-0.020950988,1.271646167,2.365237761,2.24630884,1.732014822,1.008325889,1.187930628,1.20458294
